dateTime,Device,Metric,Value,RAG,
27/01/2020 08:00,A4114,PM2.5,11.58,,
27/01/2020 08:00,A428,PM2.5,5.76,,
27/01/2020 08:00,A4600,PM2.5,0.04,,
27/01/2020 08:00,B4098,PM2.5,1.605,,
27/01/2020 08:00,B4106,PM2.5,5.63,,
27/01/2020 08:30,A4114,PM2.5,14.53,,
27/01/2020 08:30,A428,PM2.5,9.135,,
27/01/2020 08:30,A4600,PM2.5,0.05,,
27/01/2020 08:30,B4098,PM2.5,3.58,,
27/01/2020 08:30,B4106,PM2.5,14.889999,,
27/01/2020 09:00,A4114,PM2.5,18.199999,,
27/01/2020 09:00,A428,PM2.5,21.75,,
27/01/2020 09:00,A4600,PM2.5,0.79,,
27/01/2020 09:00,B4098,PM2.5,4.07,,
27/01/2020 09:00,B4106,PM2.5,14.994999,,
27/01/2020 09:30,A4114,PM2.5,4.525,,
27/01/2020 09:30,A428,PM2.5,9,,
27/01/2020 09:30,A4600,PM2.5,0.16,,
27/01/2020 09:30,B4098,PM2.5,3.585,,
27/01/2020 09:30,B4106,PM2.5,14.57,,
27/01/2020 10:00,A4114,PM2.5,9.28,,
27/01/2020 10:00,A428,PM2.5,8.195,,
27/01/2020 10:00,A4600,PM2.5,0.665,,
27/01/2020 10:00,B4098,PM2.5,3.22,,
27/01/2020 10:00,B4106,PM2.5,5.3,,
27/01/2020 10:30,A4114,PM2.5,7.66,,
27/01/2020 10:30,A428,PM2.5,9.19,,
27/01/2020 10:30,A4600,PM2.5,0.02,,
27/01/2020 10:30,B4098,PM2.5,2.1,,
27/01/2020 10:30,B4106,PM2.5,6.26,,
27/01/2020 11:00,A4114,PM2.5,12.49,,
27/01/2020 11:00,A428,PM2.5,6,,
27/01/2020 11:00,A4600,PM2.5,0.1,,
27/01/2020 11:00,B4098,PM2.5,2.24,,
27/01/2020 11:00,B4106,PM2.5,4.49,,
27/01/2020 11:30,A4114,PM2.5,8.63,,
27/01/2020 11:30,A428,PM2.5,6.78,,
27/01/2020 11:30,A4600,PM2.5,0.71,,
27/01/2020 11:30,B4098,PM2.5,1.9,,
27/01/2020 11:30,B4106,PM2.5,8.74,,
27/01/2020 12:00,A4114,PM2.5,14.2,,
27/01/2020 12:00,A428,PM2.5,15.58,,
27/01/2020 12:00,A4600,PM2.5,0.01,,
27/01/2020 12:00,B4098,PM2.5,3.65,,
27/01/2020 12:00,B4106,PM2.5,7,,
27/01/2020 12:30,A4114,PM2.5,20.1,,
27/01/2020 12:30,A428,PM2.5,13.37,,
27/01/2020 12:30,A4600,PM2.5,1.11,,
27/01/2020 12:30,B4098,PM2.5,3.06,,
27/01/2020 12:30,B4106,PM2.5,8.205,,
27/01/2020 13:00,A4114,PM2.5,16.77,,
27/01/2020 13:00,A428,PM2.5,11.38,,
27/01/2020 13:00,A4600,PM2.5,0.25,,
27/01/2020 13:00,B4098,PM2.5,3.71,,
27/01/2020 13:00,B4106,PM2.5,9.52,,
27/01/2020 13:30,A4114,PM2.5,15.63,,
27/01/2020 13:30,A428,PM2.5,15.049999,,
27/01/2020 13:30,A4600,PM2.5,0.795,,
27/01/2020 13:30,B4098,PM2.5,4.78,,
27/01/2020 13:30,B4106,PM2.5,8.92,,
27/01/2020 14:00,A4114,PM2.5,21.109999,,
27/01/2020 14:00,A428,PM2.5,10.719999,,
27/01/2020 14:00,A4600,PM2.5,0.02,,
27/01/2020 14:00,B4098,PM2.5,5.88,,
27/01/2020 14:00,B4106,PM2.5,10.61,,
27/01/2020 14:30,A4114,PM2.5,22.67,,
27/01/2020 14:30,A428,PM2.5,14.7,,
27/01/2020 14:30,A4600,PM2.5,0.77,,
27/01/2020 14:30,B4098,PM2.5,4.71,,
27/01/2020 14:30,B4106,PM2.5,6.84,,
27/01/2020 15:00,A4114,PM2.5,20.934999,,
27/01/2020 15:00,A428,PM2.5,13.389999,,
27/01/2020 15:00,A4600,PM2.5,0.05,,
27/01/2020 15:00,B4098,PM2.5,2.59,,
27/01/2020 15:00,B4106,PM2.5,10.309999,,
27/01/2020 15:30,A4114,PM2.5,33.619999,,
27/01/2020 15:30,A428,PM2.5,16.284999,,
27/01/2020 15:30,A4600,PM2.5,0.47,,
27/01/2020 15:30,B4098,PM2.5,4.09,,
27/01/2020 15:30,B4106,PM2.5,11.23,,
27/01/2020 16:00,A4114,PM2.5,7.16,,
27/01/2020 16:00,A428,PM2.5,18.969999,,
27/01/2020 16:00,A4600,PM2.5,0.66,,
27/01/2020 16:00,B4098,PM2.5,2.8,,
27/01/2020 16:00,B4106,PM2.5,10.75,,
27/01/2020 16:30,A4114,PM2.5,17.32,,
27/01/2020 16:30,A428,PM2.5,26.519999,,
27/01/2020 16:30,A4600,PM2.5,0.21,,
27/01/2020 16:30,B4098,PM2.5,3.685,,
27/01/2020 16:30,B4106,PM2.5,11.59,,
27/01/2020 17:00,A4114,PM2.5,12.87,,
