Address,Postcode,Type,Status,Source,lat,long,Description
25-27 SMITHFORD WAY CV1 1FY,CV1 1FY,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.40926,-1.513211,
11 SPON STREET CV1 3BA,CV1 3BA,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.408279,-1.516935,
79 UPPER SPON STREET CV1 3BL,CV1 3BL,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.408324,-1.523476,
70 FAR GOSFORD STREET CV1 5DZ,CV1 5DZ,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.408112,-1.494392,
96-97 FAR GOSFORD STREET CV1 5EA,CV1 5EA,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.407862,-1.494507,
7 HEARSALL LANE CV5 6HF,CV5 6HF,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.407291,-1.530573,
UNIT 5  CATHEDRAL LANES SHOPPING CENTRE BROADGATE CV1 1LL,CV1 1LL,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407755,-1.509767,
30 FAR GOSFORD STREET CV1 5DW,CV1 5DW,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.407816,-1.496763,
5-6 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
7-11 HIGH STREET CV1 5SB,CV1 5SB,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407573,-1.509284,
12 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.407374,-1.508875,
14 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
78-79 HERTFORD STREET CV1 1LB,CV1 1LB,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.406834,-1.510983,
15 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
29 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
22 HIGH STREET CV1 5QX,CV1 5QX,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.40724,-1.509214,
30 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
25 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
19-20 HIGH STREET CV1 5RE,CV1 5RE,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.407374,-1.508875,
69 HERTFORD STREET CV1 1LB,CV1 1LB,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.406834,-1.510983,
68 HERTFORD STREET CV1 1LB,CV1 1LB,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.406834,-1.510983,
70 HERTFORD STREET CV1 1LB,CV1 1LB,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.406834,-1.510983,
74 JARDINE CRESCENT CV4 9PQ,CV4 9PQ,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.406653,-1.575781,
73 BINLEY ROAD CV3 1HU,CV3 1HU,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.406377,-1.477831,
NATIONAL TYRE AND AUTOCARE 65-69 SITE OF GOSFORD STREET CV1 5DL,CV1 5DL,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.406468,-1.502902,
