LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01014913,"32,086",10,"31,335",10,"32,133",10
E01014914,"18,793",6,"13,589",5,"14,726",5
E01014915,"15,565",5,"14,614",5,"13,207",5
E01014916,"20,551",7,"16,638",6,"17,250",6
E01014917,"19,828",7,"21,420",7,"22,484",7
E01014918,"26,211",8,"25,940",8,"22,126",7
E01014919,"29,899",10,"30,003",10,"31,116",10
E01014920,"27,983",9,"19,484",6,"28,041",9
E01014921,"21,938",7,"13,754",5,"24,008",8
E01014922,"22,539",7,"20,508",7,"23,062",8
E01014923,"14,513",5,"13,094",4,"13,022",4
E01014924,"12,351",4,"14,870",5,"14,368",5
E01014925,"13,515",5,"8,662",3,"17,256",6
E01014926,"6,347",2,"8,471",3,"6,636",3
E01014927,"14,694",5,"15,687",5,"10,698",4
E01014928,"12,283",4,"13,490",5,"16,937",6
E01014929,"19,035",6,"18,583",6,"22,331",7
E01014930,"30,897",10,"28,988",9,"23,170",8
E01014931,"26,701",9,"31,370",10,"24,191",8
E01014932,"30,166",10,"23,807",8,"30,216",10
E01014933,"29,003",9,"30,159",10,"29,167",9
E01014934,"32,550",10,"30,179",10,"32,280",10
E01014935,"29,917",10,"23,618",8,"27,298",9
E01014936,"21,363",7,"15,490",5,"17,444",6
E01014937,"30,780",10,"27,910",9,"29,116",9
E01014938,"26,172",8,"17,401",6,"27,043",9
E01014939,"19,029",6,"13,169",5,"23,275",8
E01014940,"30,214",10,"25,845",8,"28,978",9
E01014941,"8,030",3,"5,750",2,"9,289",3
E01014942,"9,739",3,"10,701",4,"12,884",4
E01014943,"27,573",9,"21,423",7,"17,794",6
E01014944,"31,915",10,"25,943",8,"27,999",9
E01014945,"19,729",7,"23,070",8,"16,529",6
E01014946,"12,695",4,"10,326",4,"16,988",6
E01014947,"20,719",7,"28,537",9,"30,314",10
E01014948,"8,636",3,"10,506",4,"8,740",3
E01014949,"15,090",5,"7,157",3,"23,414",8
